iter	MultiClass
0	1.098396233
1	1.09812535
2	1.097817532
3	1.097433133
4	1.096967141
5	1.096677435
6	1.096402928
7	1.096208496
8	1.095904487
9	1.09559568
10	1.095336863
11	1.095088445
12	1.094807553
13	1.094572244
14	1.094229328
15	1.093959396
16	1.093711421
17	1.093483044
18	1.093218888
19	1.093007473
20	1.092763332
21	1.092595053
22	1.092345939
23	1.09210065
24	1.091905416
25	1.091713824
26	1.091547092
27	1.091278035
28	1.091094494
29	1.090907853
30	1.090755806
31	1.090561388
32	1.090443169
33	1.090252469
34	1.089972562
35	1.08971441
36	1.089359736
37	1.089183548
38	1.088887508
39	1.08860874
40	1.088439488
41	1.088178138
42	1.08803615
43	1.087858612
44	1.08764376
45	1.087637511
46	1.087509343
47	1.087240786
48	1.08706815
49	1.086862919
50	1.086861586
51	1.086636359
52	1.086441902
53	1.086333615
54	1.086131809
55	1.085923916
56	1.085796321
57	1.085641197
58	1.08552854
59	1.085320515
60	1.085180224
61	1.08503468
62	1.084888346
63	1.08476296
64	1.084628409
65	1.084440883
66	1.084245355
67	1.084097854
68	1.083962164
69	1.0837483
70	1.083575749
71	1.083404629
72	1.083195814
73	1.082972145
74	1.082792242
75	1.082564057
76	1.082555089
77	1.082399139
78	1.082196214
79	1.082091377
80	1.081904109
81	1.081695097
82	1.081422658
83	1.081265364
84	1.081089111
85	1.080912328
86	1.080760226
87	1.080541781
88	1.080372995
89	1.080214027
90	1.079973686
91	1.079971969
92	1.079879669
93	1.079670436
94	1.079540607
95	1.079341488
96	1.079155683
97	1.079011893
98	1.078887447
99	1.078724926
100	1.078515998
101	1.078363903
102	1.078200569
103	1.07807057
104	1.077959523
105	1.077808018
106	1.077571178
107	1.077389946
108	1.077265565
109	1.07707525
110	1.076922282
111	1.076786526
112	1.07658074
113	1.076391342
114	1.076191414
115	1.07601827
116	1.075818031
117	1.075707611
118	1.075572283
119	1.075374221
120	1.07519429
121	1.075070135
122	1.074853443
123	1.07470802
124	1.074529166
125	1.074349275
126	1.074146396
127	1.07401304
128	1.073870301
129	1.073735697
130	1.073588662
131	1.073449687
132	1.073336115
133	1.073164917
134	1.073000826
135	1.072818463
136	1.072706312
137	1.072537903
138	1.072436756
139	1.072275053
140	1.072095681
141	1.071915967
142	1.071811526
143	1.071619622
144	1.071501853
145	1.071328996
146	1.071223736
147	1.071140621
148	1.071020141
149	1.070893366
150	1.070710518
151	1.070526892
152	1.070389982
153	1.070251372
154	1.070085365
155	1.069952096
156	1.069808956
157	1.069660784
158	1.069512188
159	1.069351263
160	1.06922391
161	1.069115928
162	1.068905283
163	1.068768551
164	1.068677087
165	1.068537314
166	1.068363449
167	1.068158077
168	1.06801528
169	1.067918936
170	1.067768134
171	1.067577952
172	1.067442072
173	1.067281077
174	1.067111447
175	1.066947443
176	1.066810289
177	1.066677198
178	1.066528826
179	1.066406052
180	1.066263489
181	1.066088657
182	1.065970701
183	1.065867302
184	1.065759341
185	1.065616108
186	1.065531625
187	1.065437923
188	1.065299555
189	1.06509214
190	1.064951623
191	1.064803507
192	1.064622104
193	1.064407928
194	1.064318824
195	1.064163286
196	1.064034687
197	1.063881239
198	1.063772582
199	1.063579304
