iter	Passed	Remaining
0	16	3319
1	21	2088
2	26	1756
3	31	1534
4	35	1397
5	40	1314
6	46	1279
7	50	1219
8	57	1220
9	60	1149
10	65	1116
11	68	1069
12	74	1070
13	81	1087
14	86	1066
15	91	1054
16	97	1054
17	102	1038
18	120	1145
19	125	1128
20	130	1112
21	136	1104
22	139	1074
23	145	1065
24	152	1068
25	159	1064
26	162	1042
27	167	1028
28	173	1024
29	182	1033
30	187	1022
31	194	1020
32	199	1010
33	203	991
34	210	993
35	216	984
36	224	988
37	230	984
38	237	982
39	242	970
40	247	958
41	254	955
42	260	950
43	266	943
44	269	927
45	271	910
46	275	897
47	281	889
48	285	880
49	290	872
50	292	854
51	296	843
52	302	840
53	307	831
54	317	835
55	323	832
56	328	823
57	337	827
58	342	818
59	351	820
60	358	816
61	367	818
62	372	808
63	379	805
64	388	806
65	401	814
66	416	826
67	421	817
68	428	813
69	439	816
70	449	816
71	456	811
72	464	807
73	473	806
74	480	801
75	487	794
76	491	785
77	495	775
78	500	766
79	504	756
80	508	747
81	512	737
82	516	727
83	519	717
84	523	707
85	527	699
86	532	691
87	537	684
88	544	678
89	549	671
90	553	662
91	556	652
92	561	645
93	564	637
94	569	628
95	574	622
96	578	614
97	583	607
98	588	600
99	592	592
100	596	584
101	601	577
102	605	569
103	608	562
104	614	555
105	620	550
106	626	544
107	631	538
108	639	533
109	644	527
110	647	519
111	652	512
112	658	506
113	661	498
114	667	493
115	672	487
116	680	482
117	686	476
118	691	470
119	695	463
120	699	456
121	704	450
122	712	446
123	716	439
124	720	432
125	724	425
126	728	418
127	732	411
128	737	406
129	743	400
130	747	393
131	751	386
132	756	381
133	765	377
134	769	370
135	778	366
136	784	360
137	788	354
138	794	348
139	799	342
140	807	337
141	812	331
142	819	326
143	824	320
144	830	314
145	834	308
146	838	302
147	844	296
148	848	290
149	854	284
150	858	278
151	868	274
152	874	268
153	885	264
154	893	259
155	899	253
156	906	248
157	911	242
158	915	235
159	919	229
160	922	223
161	927	217
162	934	212
163	938	206
164	942	199
165	948	194
166	952	188
167	957	182
168	963	176
169	967	170
170	971	164
171	977	159
172	982	153
173	990	147
174	993	141
175	997	136
176	1002	130
177	1008	124
178	1013	118
179	1018	113
180	1024	107
181	1029	101
182	1039	96
183	1044	90
184	1051	85
185	1060	79
186	1064	74
187	1072	68
188	1078	62
189	1082	56
190	1088	51
191	1092	45
192	1097	39
193	1101	34
194	1106	28
195	1110	22
196	1116	17
197	1121	11
198	1124	5
199	1130	0
